Row,Material,Thickness (nm),Auto Thickness,Auto Wavelength (nm),Auto Fraction
incident,Air,1000000,0,4630,0.25
1,TiO2,224.0009831,1,1930,0.25
2,SiO2,384.9562321,1,1930,0.25
3,TiO2,224.0009831,1,1930,0.25
4,SiO2,384.9562321,1,1930,0.25
5,TiO2,224.0009831,1,1930,0.25
6,SiO2,384.9562321,1,1930,0.25
7,TiO2,224.0009831,1,1930,0.25
8,SiO2,384.9562321,1,1930,0.25
9,TiO2,224.0009831,1,1930,0.25
10,SiO2,384.9562321,1,1930,0.25
11,TiO2,224.0009831,1,1930,0.25
12,SiO2,384.9562321,1,1930,0.25
13,TiO2,224.0009831,1,1930,0.25
14,SiO2,384.9562321,1,1930,0.25
15,TiO2,224.0009831,1,1930,0.25
substrate,SiO2,1000000,0,4630,0.25
exit,SiO2,1000000,0,4630,0.25
