Row,Material,Thickness (nm),Auto Thickness,Auto Wavelength (nm),Auto Fraction
incident,Air,1000000,0,800,0.25
1,SiO2,2000,0,637,4
2,TiO2,567.9339785,0,637,2.25
3,SiO2,961.0427533,0,637,2.25
4,TiO2,566.2249647,0,637,2.25
5,SiO2,950,0,4600,2.25
6,Si,348.8636508,0,4600,0.25
7,SiO2,954.7987936,0,4600,0.25
8,Si,358.25691,0,4600,0.25
9,SiO2,985.296685,0,4600,0.25
10,Si,344.8049504,0,4600,0.25
11,SiO2,991.2247278,0,4600,0.25
12,Si,350.5347199,0,4600,0.25
13,SiO2,994.2629688,0,4600,0.25
14,Si,350.0047957,0,4600,0.25
substrate,SiO2,1000000,0,800,0.25
exit,SiO2,1000000,0,800,0.25
