Row,Material,Thickness (nm),Auto Thickness,Auto Wavelength (nm),Auto Fraction
incident,Air,1000000,0,4630,0.25
1,SiO2,50.0081218547236,1,637,0.1
2,SiO,87.3843322659923,1,637,0.25
3,SiO2,125.020304636809,1,637,0.25
4,SiO,87.3843322659923,1,637,0.25
5,SiO2,125.020304636809,1,637,0.25
6,Ge,295.910445763668,1,4630,0.25
7,SiO2,995.106354458999,1,4630,0.25
8,Ge,295.910445763668,1,4630,0.25
9,SiO2,995.106354458999,1,4630,0.25
10,Ge,295.910445763668,1,4630,0.25
11,SiO2,995.106354458999,1,4630,0.25
12,Ge,295.910445763668,1,4630,0.25
substrate,SiO2,1000000,0,4630,0.25
exit,SiO2,1000000,0,4630,0.25
