Row,Material,Thickness (nm),Auto Thickness,Auto Wavelength (nm),Auto Fraction
incident,Air,1000000,0,800,0.25
1,SiO2,965.1567518,0,637,1.93
2,TiO2,628.4834002,0,637,2.25
3,SiO2,1125.182742,0,637,2.25
4,TiO2,488.8204224,0,637,1.75
5,SiO2,875.1421325,0,637,1.75
6,TiO2,628.4834002,0,637,2.25
7,SiO2,1125.182742,0,637,2.25
8,TiO2,488.8204224,0,637,1.75
9,SiO2,1000.162437,0,637,2
10,Si,384.694388,0,637,2.5
11,SiO2,987.1460817,0,4600,0.25
12,Si,343.3573706,0,4600,0.25
13,SiO2,987.1460817,0,4600,0.25
14,Si,343.3573706,0,4600,0.25
15,SiO2,987.1460817,0,4600,0.25
16,Si,343.3573706,0,4600,0.25
substrate,SiO2,1000000,0,800,0.25
exit,SiO2,1000000,0,800,0.25
