Row,Material,Thickness (nm),Auto Thickness,Auto Wavelength (nm),Auto Fraction
incident,Air,1000000,0,800,0.25
1,SiO2,315.0357368,1,800,0.5
2,TiO2,89.60995991,1,800,0.25
3,SiO2,157.5178684,1,800,0.25
4,TiO2,89.60995991,1,800,0.25
5,SiO2,157.5178684,1,800,0.25
6,TiO2,89.60995991,1,800,0.25
7,SiO2,157.5178684,1,800,0.25
8,TiO2,89.60995991,1,800,0.25
9,SiO2,157.5178684,1,800,0.25
10,TiO2,89.60995991,1,800,0.25
11,SiO2,157.5178684,1,800,0.25
12,TiO2,89.60995991,1,800,0.25
13,SiO2,157.5178684,1,800,0.25
14,TiO2,89.60995991,1,800,0.25
15,SiO2,157.5178684,1,800,0.25
16,TiO2,89.60995991,1,800,0.25
17,SiO2,157.5178684,1,800,0.25
18,TiO2,89.60995991,1,800,0.25
19,SiO2,157.5178684,1,800,0.25
20,TiO2,89.60995991,1,800,0.25
21,SiO2,157.5178684,1,800,0.25
22,TiO2,89.60995991,1,800,0.25
substrate,SiO2,1000000,0,800,0.25
exit,SiO2,1000000,0,800,0.25
