Row,Material,Thickness (nm),Auto Thickness,Auto Wavelength (nm),Auto Fraction
incident,Air,1000000,0,1930,0.25
1,SiO2,780.0964384,1,1930,0.5
2,TiO2,114.4606995,1,1930,0.125
3,SiO2,398.1244807,1,1930,0.25
4,TiO2,250.2612946,1,1930,0.25
5,SiO2,377.9043351,1,1930,0.25
6,TiO2,221.1541182,1,1930,0.25
7,SiO2,398.5564571,1,1930,0.25
8,TiO2,217.6495313,1,1930,0.25
9,SiO2,375.0301112,1,1930,0.25
10,TiO2,241.0555253,1,1930,0.25
11,SiO2,388.6083042,1,1930,0.25
12,TiO2,203.6955388,1,1930,0.25
13,SiO2,390.1165574,1,1930,0.25
14,TiO2,241.8628336,1,1930,0.25
15,SiO2,376.4850007,1,1930,0.25
16,TiO2,224.698796,1,1930,0.25
17,SiO2,403.1701574,1,1930,0.25
18,TiO2,120.2593176,1,1930,0.125
substrate,SiO2,1000000,0,1930,0.25
exit,SiO2,1000000,0,1930,0.25
