Row,Material,Thickness (nm),Auto Thickness,Auto Wavelength (nm),Auto Fraction
incident,Air,1000000,0,4630,0.25
1,SiO2,675.624281805663,0,1380,0.2
2,Si,40.6805840805356,0,1380,0.1
3,SiO2,189.648951945103,0,1380,0.2
4,Si,91.3643673741998,0,1380,0.2
5,SiO2,210.766820856579,0,1380,0.2
6,Si,75.4759554205831,0,1380,0.2
7,SiO2,215.209774020598,0,1380,0.2
8,Si,88.6163954711555,0,1380,0.2
9,SiO2,179.906001674756,0,1380,0.2
10,Si,50.9229285422899,0,1380,0.1
substrate,CaF2,1000000,0,4630,0.25
exit,CaF2,1000000,0,4630,0.25
