Row,Material,Thickness (nm),Auto Thickness,Auto Wavelength (nm),Auto Fraction
incident,Air,1000000,0,1370,0.25
1,SiO2,545.692797254938,0,1370,0.5
2,AlN,189.710694857352,0,1370,0.125
3,SiO2,272.396160059815,0,1370,0.25
4,AlN,195.541670364194,0,1370,0.25
5,SiO2,275.142102594416,0,1370,0.25
6,AlN,192.555422213349,0,1370,0.25
7,SiO2,267.449644699752,0,1370,0.25
8,AlN,192.242856570124,0,1370,0.25
9,SiO2,275.906403948264,0,1370,0.25
10,AlN,198.779972022279,0,1370,0.25
11,SiO2,276.024092116375,0,1370,0.25
12,AlN,190.16456244736,0,1370,0.25
13,SiO2,261.17460728618,0,1370,0.25
14,AlN,189.052031467312,0,1370,0.25
15,SiO2,277.829938613155,0,1370,0.25
16,AlN,202.296054687076,0,1370,0.25
17,SiO2,283.675405516789,0,1370,0.25
18,AlN,192.805956506658,0,1370,0.25
19,SiO2,256.84362250533,0,1370,0.25
20,AlN,180.701549572939,0,1370,0.125
substrate,CaF2,1000000,0,1370,0.25
exit,CaF2,1000000,0,1930,0.25
