Row,Material,Thickness (nm),Auto Thickness,Auto Wavelength (nm),Auto Fraction
incident,Air,1000000,0,1370,0.25
1,SiO2,540.950160083641,0,1370,0.5
2,TiO2,146.861228416138,0,1370,0.125
3,SiO2,253.38790030929,0,1370,0.25
4,TiO2,149.152406455948,0,1370,0.25
5,SiO2,270.142894370353,0,1370,0.25
6,TiO2,159.432310988271,0,1370,0.25
7,SiO2,279.248052680987,0,1370,0.25
8,TiO2,157.074599078044,0,1370,0.25
9,SiO2,255.897013035503,0,1370,0.25
10,TiO2,138.899234109396,0,1370,0.25
11,SiO2,275.036933346644,0,1370,0.25
12,TiO2,160.147790874203,0,1370,0.25
13,SiO2,221.999753206771,0,1370,0.25
14,TiO2,78.4371631876376,0,1370,0.125
substrate,SiO2,1000000,0,1370,0.25
exit,SiO2,1000000,0,1930,0.25
