Row,Material,Thickness (nm),Auto Thickness,Auto Wavelength (nm),Auto Fraction
incident,Air,1000000,0,800,0.25
1,SiO2,275.232403130261,1,800,0.5
2,TiO2,85.4252112532586,1,800,0.25
3,SiO2,137.616201565131,1,800,0.25
4,TiO2,85.4252112532586,1,800,0.25
5,SiO2,137.616201565131,1,800,0.25
6,TiO2,85.4252112532586,1,800,0.25
7,SiO2,137.616201565131,1,800,0.25
8,TiO2,85.4252112532586,1,800,0.25
9,SiO2,137.616201565131,1,800,0.25
10,TiO2,85.4252112532586,1,800,0.25
11,SiO2,137.616201565131,1,800,0.25
12,TiO2,85.4252112532586,1,800,0.25
13,SiO2,137.616201565131,1,800,0.25
14,TiO2,85.4252112532586,1,800,0.25
15,SiO2,1100.92961252104,1,800,2
16,TiO2,85.4252112532586,1,800,0.25
17,SiO2,137.616201565131,1,800,0.25
18,TiO2,85.4252112532586,1,800,0.25
19,SiO2,137.616201565131,1,800,0.25
20,TiO2,85.4252112532586,1,800,0.25
21,SiO2,137.616201565131,1,800,0.25
22,TiO2,85.4252112532586,1,800,0.25
23,SiO2,137.616201565131,1,800,0.25
24,TiO2,85.4252112532586,1,800,0.25
25,SiO2,137.616201565131,1,800,0.25
26,TiO2,85.4252112532586,1,800,0.25
27,SiO2,137.616201565131,1,800,0.25
28,TiO2,85.4252112532586,1,800,0.25
substrate,SiO2,1000000,0,800,0.25
exit,Air,1000000,0,800,0.25
