Row,Material,Thickness (nm),Auto Thickness,Auto Wavelength (nm),Auto Fraction
incident,Air,1000000,0,4600,0.25
1,SiO2,1647.21849170956,1,4505,0.5
2,Si,324.581464240554,1,4505,0.25
3,SiO2,823.60924585478,1,4505,0.25
4,Si,324.581464240554,1,4505,0.25
5,SiO2,823.60924585478,1,4505,0.25
6,Si,324.581464240554,1,4505,0.25
7,SiO2,1647.21849170956,1,4505,0.5
8,Si,324.581464240554,1,4505,0.25
9,SiO2,823.60924585478,1,4505,0.25
10,Si,324.581464240554,1,4505,0.25
11,SiO2,823.60924585478,1,4505,0.25
12,Si,324.581464240554,1,4505,0.25
13,SiO2,32.9443698341912,1,4505,0.01
substrate,Al2O3,1000000,0,4505,0.25
exit,Air,1000000,0,4505,0.25
