wl,n
0.667,3.7361860
0.714,3.8159832
0.769,3.7771262
0.833,3.4879914
0.909,2.9807157
1.00,2.5372515
1.05,2.3419619
1.11,2.1691522
1.18,2.0338468
1.25,1.9061057
1.33,1.7797564
1.43,1.7014062
1.54,1.6167352
1.67,1.5124883
1.82,1.4476138
2.00,1.3787354
2.11,1.3419643
2.22,1.3246140
2.35,1.3358240
2.50,1.3719253
2.67,1.4347181
2.86,1.5147128
3.08,1.6006395
3.33,1.7296250
3.64,1.9643186
4.00,2.2903056
4.44,2.7142480
5.00,3.3460153
5.71,4.3080595
6.67,5.7374219
8.00,8.0417701
10.0,12.132436
11.1,14.599652
12.5,17.948846
14.3,22.527740
16.7,28.406166
20.0,36.663706
22.2,42.092997
25.0,48.760817
28.6,57.122067
33.3,67.891603
40.0,82.241906
44.4,91.330970
50.0,102.12640
57.1,114.94950
66.7,129.77236
80.0,148.54398
100,173.64793
125,200.43914
154,227.57460

wl,k
0.667,3.5912220
0.714,3.5417088
0.769,3.4266289
0.833,3.2991627
0.909,3.4956418
1.00,3.9968299
1.05,4.3245235
1.11,4.7136001
1.18,5.1486289
1.25,5.6230394
1.33,6.1751066
1.43,6.7993804
1.54,7.4926629
1.67,8.2838453
1.82,9.2513402
2.00,10.396535
2.11,11.064120
2.22,11.821314
2.35,12.667669
2.50,13.607095
2.67,14.654142
2.86,15.828837
3.08,17.177196
3.33,18.769452
3.64,20.649783
4.00,22.850789
4.44,25.500166
5.00,28.788898
5.71,32.926140
6.67,38.275608
8.00,45.523100
10.0,55.822815
11.1,61.094152
12.5,67.549462
14.3,75.010773
16.7,84.122793
20.0,95.659355
22.2,102.66741
25.0,110.79000
28.6,120.35199
33.3,131.81545
40.0,145.83988
44.4,154.08616
50.0,163.32577
57.1,173.65334
66.7,186.39648
80.0,202.91175
100,224.74485
125,248.88501
154,276.18720
