wl,n
1.03E-01,3.27E-01
1.08E-01,3.63E-01
1.13E-01,3.92E-01
1.18E-01,4.23E-01
1.24E-01,4.59E-01
1.31E-01,4.97E-01
1.38E-01,5.43E-01
1.46E-01,5.97E-01
1.55E-01,6.60E-01
1.65E-01,7.35E-01
1.77E-01,8.32E-01
1.91E-01,9.51E-01
2.07E-01,1.11E+00
2.25E-01,1.35E+00
2.48E-01,1.69E+00
2.58E-01,1.86E+00
2.70E-01,2.07E+00
2.82E-01,2.30E+00
2.95E-01,2.56E+00
3.10E-01,2.87E+00
3.26E-01,3.21E+00
3.44E-01,3.55E+00
3.54E-01,3.73E+00
3.65E-01,3.90E+00
3.88E-01,4.17E+00
4.13E-01,4.38E+00
4.43E-01,4.47E+00
4.77E-01,4.49E+00
4.96E-01,4.47E+00
5.17E-01,4.46E+00
5.64E-01,4.36E+00
6.20E-01,4.23E+00
6.53E-01,4.17E+00
6.89E-01,4.09E+00
7.29E-01,4.01E+00
7.75E-01,3.93E+00
8.27E-01,3.86E+00
8.86E-01,3.77E+00
9.54E-01,3.68E+00
1.03E+00,3.61E+00
1.13E+00,3.57E+00
1.24E+00,3.54E+00
1.38E+00,3.50E+00
1.55E+00,3.48E+00
1.647,3.470470736
1.744,3.464449486
1.841,3.459390801
1.938,3.455097185
2.035,3.451420212
2.132,3.448246236
2.228,3.44551347
2.325,3.443095872
2.422,3.440968278
2.519,3.439085876
2.616,3.437412228
2.713,3.435917449
2.809,3.434589947
2.906,3.433381659
3.003,3.432289904
3.1,3.43130012
3.197,3.430399958
3.294,3.429578889
3.39,3.4288353
3.487,3.428145991
3.584,3.427512324
3.681,3.426928454
3.778,3.426389287
3.875,3.425890363
3.971,3.425432363
4.068,3.425002323
4.165,3.42460214
4.262,3.424229109
4.359,3.423880822
4.456,3.423555135
4.552,3.423253174
4.649,3.422966945
4.746,3.422698152
4.843,3.422445404
4.94,3.422207445
5.037,3.421983143
5.133,3.42177359
5.23,3.421573496
5.327,3.421384258
5.424,3.421205103
5.521,3.421035325
5.618,3.42087428
5.714,3.420722913
5.811,3.420577535
5.908,3.420439266
6.005,3.420307648
6.102,3.42018226
6.199,3.420062714
6.295,3.4199498
6.392,3.419840837
6.489,3.419736722
6.586,3.41963717
6.683,3.419541918
6.779,3.41945164
6.876,3.41936423
6.973,3.419280436
7.07,3.419200061
7.167,3.41912292
7.264,3.41904884
7.36,3.418978381
7.457,3.418909926
7.554,3.418844081
7.651,3.418780716
7.748,3.418719706
7.845,3.418660935
7.941,3.418604867
8.038,3.418550233
8.135,3.41849753
8.232,3.418446669
8.329,3.418397564
8.426,3.418350133
8.522,3.418304765
8.619,3.418260445
8.716,3.418217584
8.813,3.418176118
8.91,3.418135988
9.007,3.418097135
9.103,3.418059887
9.2,3.418023416
9.297,3.417988069
9.394,3.417953799
9.491,3.417920561
9.588,3.417888315
9.684,3.417857337
9.781,3.417826947
9.878,3.417797434
9.975,3.417768765
10.07,3.417741474
10.17,3.417713555
10.27,3.417686434
10.36,3.417662682
10.46,3.417636993
10.56,3.417612017
10.65,3.417590125
10.75,3.417566429
10.85,3.417543372
10.94,3.417523146
11.04,3.417501237
