wl,n
1.357,3.4975134228247
1.454,3.4864875403502
1.551,3.4776415369852
1.647,3.4704707359595
1.744,3.4644494863299
1.841,3.4593908013408
1.938,3.4550971853461
2.035,3.451420212052
2.132,3.4482462357671
2.228,3.4455134698984
2.325,3.4430958717431
2.422,3.4409682782263
2.519,3.4390858761579
2.616,3.4374122275297
2.713,3.4359174491583
2.809,3.4345899473621
2.906,3.4333816594248
3.003,3.4322899037219
3.100,3.4313001198042
3.197,3.430399958421
3.294,3.4295788893602
3.390,3.428835300402
3.487,3.42814599086
3.584,3.4275123235748
3.681,3.4269284540976
3.778,3.4263892870142
3.875,3.4258903634249
3.971,3.4254323634342
4.068,3.425002322785
4.165,3.4246021401328
4.262,3.4242291087166
4.359,3.4238808220676
4.456,3.4235551348489
4.552,3.4232531743792
4.649,3.4229669454396
4.746,3.4226981520975
4.843,3.422445403629
4.940,3.4222074453723
5.037,3.4219831430446
5.133,3.4217735901432
5.230,3.4215734959349
5.327,3.4213842578704
5.424,3.4212051027272
5.521,3.4210353249521
5.618,3.4208742796716
5.714,3.4207229131854
5.811,3.4205775351527
5.908,3.4204392658701
6.005,3.4203076479036
6.102,3.4201822600373
6.199,3.4200627138826
6.295,3.4199497999331
6.392,3.4198408370404
6.489,3.4197367220213
6.586,3.4196371703466
6.683,3.4195419180564
6.779,3.4194516402882
6.876,3.4193642301986
6.973,3.4192804363872
7.070,3.4192000610675
7.167,3.4191229197861
7.264,3.4190488403584
7.360,3.418978381418
7.457,3.4189099258497
7.554,3.4188440813591
7.651,3.4187807159132
7.748,3.4187197057128
7.845,3.4186609345837
7.941,3.4186048668357
8.038,3.4185502326901
8.135,3.418497530469
8.232,3.4184466693202
8.329,3.4183975636622
8.426,3.4183501328217
8.522,3.4183047652864
8.619,3.4182604446614
8.716,3.4182175837513
8.813,3.4181761183885
8.910,3.4181359878862
9.007,3.4180971348134
9.103,3.4180598866639
9.200,3.4180234163369
9.297,3.4179880691752
9.394,3.4179537988195
9.491,3.4179205612712
9.588,3.4178883147498
9.684,3.4178573374668
9.781,3.417826946642
9.878,3.4177974338879
9.975,3.4177687650383
10.07,3.4177414739641
10.17,3.4177135553073
10.27,3.4176864343827
10.36,3.4176626821244
10.46,3.4176369932492
10.56,3.4176120167551
10.65,3.4175901248421
10.75,3.4175664291375
10.85,3.4175433715308
10.94,3.4175231459277
11.04,3.4175012372164
