wl,n
1.033000E-01,3.270000E-01
1.078000E-01,3.630000E-01
1.127000E-01,3.920000E-01
1.181000E-01,4.230000E-01
1.240000E-01,4.590000E-01
1.305000E-01,4.970000E-01
1.378000E-01,5.430000E-01
1.459000E-01,5.970000E-01
1.550000E-01,6.600000E-01
1.653000E-01,7.350000E-01
1.771000E-01,8.320000E-01
1.907000E-01,9.510000E-01
2.066000E-01,1.110000E+00
2.254000E-01,1.350000E+00
2.480000E-01,1.690000E+00
2.583000E-01,1.860000E+00
2.695000E-01,2.070000E+00
2.818000E-01,2.300000E+00
2.952000E-01,2.560000E+00
3.100000E-01,2.870000E+00
3.263000E-01,3.210000E+00
3.444000E-01,3.550000E+00
3.543000E-01,3.730000E+00
3.647000E-01,3.900000E+00
3.875000E-01,4.170000E+00
4.133000E-01,4.380000E+00
4.428000E-01,4.470000E+00
4.769000E-01,4.490000E+00
4.960000E-01,4.470000E+00
5.166000E-01,4.460000E+00
5.636000E-01,4.360000E+00
6.199000E-01,4.230000E+00
6.526000E-01,4.170000E+00
6.888000E-01,4.090000E+00
7.293000E-01,4.010000E+00
7.749000E-01,3.930000E+00
8.266000E-01,3.860000E+00
8.856000E-01,3.770000E+00
9.538000E-01,3.680000E+00
1.033000E+00,3.610000E+00
1.127000E+00,3.570000E+00
1.240000E+00,3.540000E+00
1.378000E+00,3.500000E+00
1.550000E+00,3.480000E+00
2.000000E+00,3.469867E+00
2.010000E+00,3.469867E+00
2.020000E+00,3.469867E+00
2.030000E+00,3.469867E+00
2.040000E+00,3.469867E+00
2.050000E+00,3.469867E+00
2.060000E+00,3.469867E+00
2.070000E+00,3.469867E+00
2.080000E+00,3.469867E+00
2.090000E+00,3.469867E+00
2.100000E+00,3.469867E+00
2.110000E+00,3.469867E+00
2.120000E+00,3.469867E+00
2.130000E+00,3.469867E+00
2.140000E+00,3.469867E+00
2.150000E+00,3.469867E+00
2.160000E+00,3.469867E+00
2.170000E+00,3.469867E+00
2.180000E+00,3.469867E+00
2.190000E+00,3.469867E+00
2.200000E+00,3.469867E+00
2.210000E+00,3.469867E+00
2.220000E+00,3.469866E+00
2.230000E+00,3.469866E+00
2.240000E+00,3.469866E+00
2.250000E+00,3.469866E+00
2.260000E+00,3.469866E+00
2.270000E+00,3.469866E+00
2.280000E+00,3.469866E+00
2.290000E+00,3.469866E+00
2.300000E+00,3.469866E+00
2.310000E+00,3.469866E+00
2.320000E+00,3.469866E+00
2.330000E+00,3.469866E+00
2.340000E+00,3.469866E+00
2.350000E+00,3.469866E+00
2.360000E+00,3.469866E+00
2.370000E+00,3.469866E+00
2.380000E+00,3.469866E+00
2.390000E+00,3.469866E+00
2.400000E+00,3.469866E+00
2.410000E+00,3.469866E+00
2.420000E+00,3.469866E+00
2.430000E+00,3.469866E+00
2.440000E+00,3.469866E+00
2.450000E+00,3.469866E+00
2.460000E+00,3.469866E+00
2.470000E+00,3.469866E+00
2.480000E+00,3.469866E+00
2.490000E+00,3.469865E+00
2.500000E+00,3.469865E+00
2.510000E+00,3.469865E+00
2.520000E+00,3.469865E+00
2.530000E+00,3.469865E+00
2.540000E+00,3.469865E+00
2.550000E+00,3.469865E+00
2.560000E+00,3.469865E+00
2.570000E+00,3.469865E+00
2.580000E+00,3.469865E+00
2.590000E+00,3.469865E+00
2.600000E+00,3.469865E+00
2.610000E+00,3.469865E+00
2.620000E+00,3.469865E+00
2.630000E+00,3.469865E+00
2.640000E+00,3.469865E+00
2.650000E+00,3.469865E+00
2.660000E+00,3.469865E+00
2.670000E+00,3.469865E+00
2.680000E+00,3.469865E+00
2.690000E+00,3.469865E+00
2.700000E+00,3.469865E+00
2.710000E+00,3.469865E+00
2.720000E+00,3.469864E+00
2.730000E+00,3.469864E+00
2.740000E+00,3.469864E+00
2.750000E+00,3.469864E+00
2.760000E+00,3.469864E+00
2.770000E+00,3.469864E+00
2.780000E+00,3.469864E+00
2.790000E+00,3.469864E+00
2.800000E+00,3.469864E+00
2.810000E+00,3.469864E+00
2.820000E+00,3.469864E+00
2.830000E+00,3.469864E+00
2.840000E+00,3.469864E+00
2.850000E+00,3.469864E+00
2.860000E+00,3.469864E+00
2.870000E+00,3.469864E+00
2.880000E+00,3.469864E+00
2.890000E+00,3.469864E+00
2.900000E+00,3.469864E+00
2.910000E+00,3.469864E+00
2.920000E+00,3.469864E+00
2.930000E+00,3.469864E+00
2.940000E+00,3.469863E+00
2.950000E+00,3.469863E+00
2.960000E+00,3.469863E+00
2.970000E+00,3.469863E+00
2.980000E+00,3.469863E+00
2.990000E+00,3.469863E+00
3.000000E+00,3.469863E+00
3.010000E+00,3.469863E+00
3.020000E+00,3.469863E+00
3.030000E+00,3.469863E+00
3.040000E+00,3.469863E+00
3.050000E+00,3.469863E+00
3.060000E+00,3.469863E+00
3.070000E+00,3.469863E+00
3.080000E+00,3.469863E+00
3.090000E+00,3.469863E+00
3.100000E+00,3.469863E+00
3.110000E+00,3.469863E+00
3.120000E+00,3.469863E+00
3.130000E+00,3.469862E+00
3.140000E+00,3.469862E+00
3.150000E+00,3.469862E+00
3.160000E+00,3.469862E+00
3.170000E+00,3.469862E+00
3.180000E+00,3.469862E+00
3.190000E+00,3.469862E+00
3.200000E+00,3.469862E+00
3.210000E+00,3.469862E+00
3.220000E+00,3.469862E+00
3.230000E+00,3.469862E+00
3.240000E+00,3.469862E+00
3.250000E+00,3.469862E+00
3.260000E+00,3.469862E+00
3.270000E+00,3.469862E+00
3.280000E+00,3.469862E+00
3.290000E+00,3.469862E+00
3.300000E+00,3.469862E+00
3.310000E+00,3.469862E+00
3.320000E+00,3.469861E+00
3.330000E+00,3.469861E+00
3.340000E+00,3.469861E+00
3.350000E+00,3.469861E+00
3.360000E+00,3.469861E+00
3.370000E+00,3.469861E+00
3.380000E+00,3.469861E+00
3.390000E+00,3.469861E+00
3.400000E+00,3.469861E+00
3.410000E+00,3.469861E+00
3.420000E+00,3.469861E+00
3.430000E+00,3.469861E+00
3.440000E+00,3.469861E+00
3.450000E+00,3.469861E+00
3.460000E+00,3.469861E+00
3.470000E+00,3.469861E+00
3.480000E+00,3.469861E+00
3.490000E+00,3.469860E+00
3.500000E+00,3.469860E+00
3.510000E+00,3.469860E+00
3.520000E+00,3.469860E+00
3.530000E+00,3.469860E+00
3.540000E+00,3.469860E+00
3.550000E+00,3.469860E+00
3.560000E+00,3.469860E+00
3.570000E+00,3.469860E+00
3.580000E+00,3.469860E+00
3.590000E+00,3.469860E+00
3.600000E+00,3.469860E+00
3.610000E+00,3.469860E+00
3.620000E+00,3.469860E+00
3.630000E+00,3.469860E+00
3.640000E+00,3.469860E+00
3.650000E+00,3.469859E+00
3.660000E+00,3.469859E+00
3.670000E+00,3.469859E+00
3.680000E+00,3.469859E+00
3.690000E+00,3.469859E+00
3.700000E+00,3.469859E+00
3.710000E+00,3.469859E+00
3.720000E+00,3.469859E+00
3.730000E+00,3.469859E+00
3.740000E+00,3.469859E+00
3.750000E+00,3.469859E+00
3.760000E+00,3.469859E+00
3.770000E+00,3.469859E+00
3.780000E+00,3.469859E+00
3.790000E+00,3.469859E+00
3.800000E+00,3.469858E+00
3.810000E+00,3.469858E+00
3.820000E+00,3.469858E+00
3.830000E+00,3.469858E+00
3.840000E+00,3.469858E+00
3.850000E+00,3.469858E+00
3.860000E+00,3.469858E+00
3.870000E+00,3.469858E+00
3.880000E+00,3.469858E+00
3.890000E+00,3.469858E+00
3.900000E+00,3.469858E+00
